ID Paper;Title
99260;Interoperable assessment based on competency modelling
99265;Competency comparison relations for recommendation in technology enhanced learning scenarios
99271;Supporting cognitive competence development in virtual classrooms: Personal learning management and evaluation using pedagogical agents
99272;Semantic enhancement of the course curriculum design process
99298;Descriptors for competence: Towards an international standard classification for skills and competences
99299;Project management competences development using an ontology-based e-learning platform
99310;SCOWT: Semantic competencies for worker training
99311;Knowledge framework supporting semantic search of learning resources
99317;A training path advisor for lifelong learning
99326;Extending Moodle functionalities with ontology-based competency management
99336;An ontology-based data matching framework: Use case competency-based HRM
99338;Competence management in e-learning systems: A possible approach
99342;Ontology-based competency management for corporate e-learning
99343;An ontology-based approach for modelling grid services in the context of e-learning
99345;An ontology-based competence management model to support collaborative working and organisational learning
99347;Using ontologies for representation of individual and enterprise competence models
99348;Using data mining techniques to support the creation of competence ontologies
99360;The specification of competency questions: An ontological support to match business processes, IT and competences of professionals
99365;Learning resource referencing, search and aggregation at the eLearning system level
99372;Using visual guidance and feedback based on competence structures for personalising e-learning experience
99373;Experiences of using an ontology-based knowledge testing approach in teaching business informatics
99376;Deriving ontologies using multi-agent systems
99379;Personalising learning through prerequisite structures derived from concept maps
99380;A formal model of competence-based assessment
99391;Interoperable competencies characterizing learning objects in mathematics
99392;Providing multimedia recommendations based on a Markov decision process inside e-learning platforms
99403;A competency-based learning resource retrieval process: The LUISA-UHP case-study
99408;Competency based management: A review of systems and approaches
99411;A competence management system for universities
99413;Educational ontology and knowledge testing
99416;Towards a human resource development ontology for combining competence management and technology-enhanced workplace learning
188097;Objetos de Aprendizaje basados en Competencias: Una metodolog�a para su desarrollo en carreras de Ingenier�a
223570;Competency-Based Personalization Process for Smart Learning Environments
223571;An ontology based tool for competency management and learning paths
223572;An Ontological Approach to Support Design competency-based curriculum
